source_name,local_path,bytes,sha256
image137.png,assets/second-edition-media/image137.png,34846,d287c74c7385389dc7134172118d8b111ca5ee3cfa3b8d9fbd65f2004f498743
image138.png,assets/second-edition-media/image138.png,27252,d69fad8ebfa3c3fc74e0784359768526b043f6430bfdd1a08cec46366808276d
image139.png,assets/second-edition-media/image139.png,32510,2c240f4c71a0c6a7ebb132a10987c0f3a5d1488d0bbc79a23cdfe22e287a84fc
image14.png,assets/second-edition-media/image14.png,592408,342c678840bc4eb3fbc5f400495b691c5a7b647a5b409955ccfb4d9289984c1f
image140.png,assets/second-edition-media/image140.png,10454,9479df624e2a41271d3603f0f4c4ea5afaba13577c20d637a127c2d6c691767e
image141.png,assets/second-edition-media/image141.png,19708,036bedcc5e0fe2b803a1bc640bacfcef26cbc7ad2eb9d86a1a58450adde04ce6
image142.png,assets/second-edition-media/image142.png,4699,0aad407f4e0b44b933622b6d45ea2b10530f5b571315b8b4952692b80882aceb
image143.png,assets/second-edition-media/image143.png,4710,66ce7ee20250e238a6a0a4a8a826159c58d575e24a6c9401f2c9c2dc70b6a405
image144.png,assets/second-edition-media/image144.png,12086,a4038287a11b9f07785a58c2764c04cfa6c887ff794def824ae93055d1e9580b
image145.png,assets/second-edition-media/image145.png,7881,345915b56c2ef0ecd98d113834d57387ca85a612525cd8ca24fbf1783dc5c4fe
image146.png,assets/second-edition-media/image146.png,13904,dd36338f11e0e8e31163df26c44d2c63ccf50814c3f38f4d314d317ed70fff3b
image147.png,assets/second-edition-media/image147.png,11474,9c146c8b8218b8c3d367bf5f6b710baeffad4fd1e1066e3644c16709f37565ca
image148.png,assets/second-edition-media/image148.png,80603,809f26d0a1a79d78d58e25a29e2cd481d18e0af308b6d909798448e39efe14ab
image149.png,assets/second-edition-media/image149.png,6426,e966ff08492b71a8945b5bfa850de5a615e7b8fd01579192844d58faca571ed8
image15.png,assets/second-edition-media/image15.png,1847089,684bd967d69b2fd3a7929b12642004e112f18d6456a3a2a8642aa441cc05d478
image150.png,assets/second-edition-media/image150.png,14217,a36da30931f3c128d8b39ea219f82e507bcac44f585ea901627726f21f864287
image151.png,assets/second-edition-media/image151.png,51654,1dea53a025a67ed90537880d8db4fa4fd5bff801d32bb18dd3ddb7c954b9d473
image152.png,assets/second-edition-media/image152.png,6642,58ba5493dfcb747a881b886a32acc54d9172cd5f5ece7f4e28929be7fe5083e8
